Tree Width,Tree Depth,Network Size,Time to Complete Optimized Check (sec),Time to Complete Unoptimized Check (sec),Time to Complete Isomorphic Check (Isomorphic) (sec),Time to Complete Isomorphic Check (Non-Isomorphic) (sec),Optimized/Unoptimized Check Functions,Optimized Check Function/Isomorphic Check True,Optimized Check Function/Isomorphic Check False
3,1,5,0.000200 sec,0.000150 sec,0.000100 sec,0.000040 sec,133.33%,200%,500%
3,2,13,0.000270 sec,0.000170 sec,0.000500 sec,0.000160 sec,158.82%,54%,169%
3,3,40,0.009300 sec,0.001000 sec,0.002400 sec,0.002200 sec,930.00%,388%,423%
3,4,121,0.001000 sec,0.003000 sec,0.021600 sec,0.000194 sec,33.33%,5%,515%
3,5,,0.010000 sec,0.016300 sec,0.119000 sec,0.000440 sec,61.35%,8%,2273%
3,6,1093,0.119 sec,0.434 sec,1.166 sec,0.002 sec,27.42%,10%,6263%
3,7,3280,2.971 sec,5.862 sec,9.801 sec,0.004 sec,50.68%,30%,76179%
3,8,9841,82.860 sec,199.090 sec,89.744 sec,0.088 sec,41.62%,92%,94159%
